Timesteps  Total_Iterations  Iterations  Convergence  
499  1010  2  1  
500  1012  2  1  
501  1014  2  1  
502  1016  2  1  
503  1018  2  1  
504  1020  2  1  
505  1022  2  1  
506  1024  2  1  
507  1026  2  1  
508  1028  2  1  
509  1030  2  1  
510  1032  2  1  
511  1034  2  1  
512  1036  2  1  
513  1038  2  1  
514  1040  2  1  
515  1042  2  1  
516  1044  2  1  
517  1046  2  1  
518  1048  2  1  
519  1050  2  1  
520  1052  2  1  
521  1054  2  1  
522  1056  2  1  
523  1058  2  1  
524  1060  2  1  
525  1062  2  1  
526  1064  2  1  
527  1066  2  1  
528  1068  2  1  
529  1070  2  1  
530  1072  2  1  
531  1074  2  1  
532  1076  2  1  
533  1078  2  1  
534  1080  2  1  
535  1082  2  1  
536  1084  2  1  
537  1086  2  1  
538  1088  2  1  
539  1090  2  1  
540  1092  2  1  
541  1094  2  1  
542  1096  2  1  
543  1098  2  1  
544  1100  2  1  
545  1102  2  1  
546  1104  2  1  
547  1106  2  1  
548  1108  2  1  
549  1110  2  1  
550  1112  2  1  
551  1114  2  1  
552  1116  2  1  
553  1118  2  1  
554  1120  2  1  
555  1122  2  1  
556  1124  2  1  
557  1126  2  1  
558  1128  2  1  
559  1130  2  1  
560  1132  2  1  
561  1134  2  1  
562  1136  2  1  
563  1138  2  1  
564  1140  2  1  
565  1142  2  1  
566  1144  2  1  
567  1146  2  1  
568  1148  2  1  
569  1150  2  1  
570  1152  2  1  
571  1154  2  1  
572  1156  2  1  
573  1158  2  1  
574  1160  2  1  
575  1162  2  1  
576  1164  2  1  
577  1166  2  1  
578  1168  2  1  
579  1170  2  1  
580  1172  2  1  
581  1174  2  1  
582  1176  2  1  
583  1178  2  1  
584  1180  2  1  
585  1182  2  1  
586  1184  2  1  
587  1186  2  1  
588  1188  2  1  
589  1190  2  1  
590  1192  2  1  
591  1194  2  1  
592  1196  2  1  
593  1198  2  1  
594  1200  2  1  
595  1202  2  1  
596  1204  2  1  
597  1206  2  1  
598  1208  2  1  
599  1210  2  1  
600  1212  2  1  
601  1214  2  1  
602  1216  2  1  
603  1218  2  1  
604  1220  2  1  
605  1222  2  1  
606  1224  2  1  
607  1226  2  1  
608  1228  2  1  
609  1230  2  1  
610  1232  2  1  
611  1234  2  1  
612  1236  2  1  
613  1238  2  1  
614  1240  2  1  
615  1242  2  1  
616  1244  2  1  
617  1246  2  1  
618  1248  2  1  
619  1250  2  1  
620  1252  2  1  
621  1254  2  1  
622  1256  2  1  
623  1258  2  1  
624  1260  2  1  
625  1262  2  1  
626  1264  2  1  
627  1266  2  1  
628  1268  2  1  
629  1270  2  1  
630  1272  2  1  
631  1274  2  1  
632  1276  2  1  
633  1278  2  1  
634  1280  2  1  
635  1282  2  1  
636  1284  2  1  
637  1286  2  1  
638  1288  2  1  
639  1290  2  1  
640  1292  2  1  
641  1294  2  1  
642  1296  2  1  
643  1298  2  1  
644  1300  2  1  
645  1302  2  1  
646  1304  2  1  
647  1306  2  1  
648  1308  2  1  
649  1310  2  1  
650  1312  2  1  
651  1314  2  1  
652  1316  2  1  
653  1318  2  1  
654  1320  2  1  
655  1322  2  1  
656  1324  2  1  
657  1326  2  1  
658  1328  2  1  
659  1330  2  1  
660  1332  2  1  
661  1334  2  1  
662  1336  2  1  
663  1338  2  1  
664  1340  2  1  
665  1342  2  1  
666  1344  2  1  
667  1346  2  1  
668  1348  2  1  
669  1350  2  1  
670  1352  2  1  
671  1354  2  1  
