"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
19	-4.397884157931307e-01	0.000000000000000e+00	1.223947878312393e+00	3.045307673143157e+00	-1.194520089100955e-02	2.534963967627762e+05	-8.851159805089992e-10	-5.777273877072275e-07	2.935148057936487e-08	-1.178527891170233e-04	1.013970432743186e+05	2.885975983685811e+02	1.368541451397690e+01	7.305944898097764e-03	
20	-2.839218261072465e-01	0.000000000000000e+00	1.224009529652971e+00	2.013607836162935e+00	-6.807113608203563e-03	2.535074495729900e+05	-8.851159805089992e-10	-5.777273877072275e-07	2.935148057936487e-08	-1.178527891170233e-04	1.014023173077439e+05	2.885980724509242e+02	1.442917892312978e+01	4.830554840128409e-03	
21	-1.556169130857246e-01	0.000000000000000e+00	1.223953325718949e+00	1.049124793906327e+00	-2.434925958842413e-02	2.534940155492860e+05	-1.773416746786438e-09	-3.660276277628327e-07	-1.665525195537754e-08	-8.475084905512631e-05	1.013974262691074e+05	2.885974039972278e+02	1.373942590711503e+01	2.517585198051676e-03	
22	-5.000000000000000e-02	1.000000000000000e-01	1.224061293219965e+00	-3.056564415467294e-02	9.628305416896208e-01	2.535132462532004e+05	-3.160794292966784e-09	-1.166215926051706e-07	-1.644569065373247e-07	-9.521568426862359e-05	1.014051468786587e+05	2.885939209222271e+02	1.482821585935170e+01	2.310856543845189e-03	
23	-5.000000000000000e-02	2.000000000000000e-01	1.223966351512015e+00	-4.093723105380981e-03	1.721877833675132e+00	2.534925772739544e+05	-3.160794292966784e-09	-1.166215926051706e-07	-1.644569065373247e-07	-9.521568426862359e-05	1.013965464387417e+05	2.885918285157780e+02	1.361534885653460e+01	4.130886132828723e-03	
24	-5.000000000000000e-02	3.000000000000000e-01	1.224004139597219e+00	-2.180799491369365e-03	2.481583115528019e+00	2.535004528794313e+05	-3.352665922662368e-09	-7.034974036645991e-08	-2.566808858794900e-07	-1.205067965202034e-04	1.013991749036208e+05	2.885903997878915e+02	1.398602504877300e+01	5.953280170288622e-03	
25	-5.000000000000000e-02	4.000000000000000e-01	1.223970809328806e+00	-5.869509331163474e-03	3.279562024023889e+00	2.534957006415533e+05	-3.352665922662368e-09	-7.034974036645991e-08	-2.566808858794900e-07	-1.205067965202034e-04	1.013965227700148e+05	2.885907100722194e+02	1.361201100194751e+01	7.867839019505224e-03	
26	-5.000000000000000e-02	5.000000000000000e-01	1.223928404717384e+00	-2.421175407935401e-02	3.992664640448179e+00	2.534921423492614e+05	1.404705018970276e-09	3.759547240189676e-08	-1.888901284274880e-07	-1.293744717258960e-04	1.013942518923703e+05	2.885942451727656e+02	1.329176313217998e+01	9.579043074338597e-03	
27	-5.000000000000000e-02	6.000000000000000e-01	1.223810913431584e+00	-4.390925670166754e-02	4.562017280818987e+00	2.534760629912632e+05	1.404705018970276e-09	3.759547240189676e-08	-1.888901284274880e-07	-1.293744717258960e-04	1.013870237021298e+05	2.886013762300932e+02	1.227241603861359e+01	1.094623268716288e-02	
28	-5.000000000000000e-02	7.000000000000000e-01	1.223914590189214e+00	-5.725886509509878e-02	5.046907866515815e+00	2.535059868964115e+05	8.877405699436736e-09	1.348113182753075e-07	1.077911369051776e-07	-1.255560782738030e-04	1.013982319586772e+05	2.886088310093388e+02	1.385304733849041e+01	1.210872901733827e-02	
