TimeWindow  Iteration  ResRel(Stress)  ResRel(Displacement)  
391  1  inf  inf  
392  1  inf  inf  
393  1  inf  inf  
394  1  inf  inf  
395  1  inf  inf  
396  1  inf  inf  
397  1  inf  inf  
398  1  inf  inf  
399  1  inf  inf  
400  1  inf  inf  
401  1  inf  inf  
402  1  inf  inf  
403  1  inf  inf  
404  1  inf  inf  
405  1  inf  inf  
406  1  inf  inf  
407  1  inf  inf  
408  1  inf  inf  
409  1  inf  inf  
410  1  inf  inf  
411  1  inf  inf  
412  1  inf  inf  
413  1  inf  inf  
414  1  inf  inf  
415  1  inf  inf  
416  1  inf  inf  
417  1  inf  inf  
418  1  inf  inf  
419  1  inf  inf  
420  1  inf  inf  
421  1  inf  inf  
422  1  inf  inf  
423  1  inf  inf  
424  1  inf  inf  
425  1  inf  inf  
426  1  inf  inf  
427  1  inf  inf  
428  1  inf  inf  
429  1  inf  inf  
430  1  inf  inf  
431  1  inf  inf  
432  1  inf  inf  
433  1  inf  inf  
434  1  inf  inf  
435  1  inf  inf  
436  1  inf  inf  
437  1  inf  inf  
438  1  inf  inf  
439  1  inf  inf  
440  1  inf  inf  
441  1  inf  inf  
442  1  inf  inf  
443  1  inf  inf  
444  1  inf  inf  
445  1  inf  inf  
446  1  inf  inf  
447  1  inf  inf  
448  1  inf  inf  
449  1  inf  inf  
450  1  inf  inf  
451  1  inf  inf  
452  1  inf  inf  
453  1  inf  inf  
454  1  inf  inf  
455  1  inf  inf  
456  1  inf  inf  
457  1  inf  inf  
458  1  inf  inf  
459  1  inf  inf  
460  1  inf  inf  
461  1  inf  inf  
462  1  inf  inf  
463  1  inf  inf  
464  1  inf  inf  
465  1  inf  inf  
466  1  inf  inf  
467  1  inf  inf  
468  1  inf  inf  
469  1  inf  inf  
470  1  inf  inf  
471  1  inf  inf  
472  1  inf  inf  
473  1  inf  inf  
474  1  inf  inf  
475  1  inf  inf  
476  1  inf  inf  
477  1  inf  inf  
478  1  inf  inf  
479  1  inf  inf  
480  1  inf  inf  
481  1  inf  inf  
482  1  inf  inf  
483  1  inf  inf  
484  1  inf  inf  
485  1  inf  inf  
486  1  inf  inf  
487  1  inf  inf  
488  1  inf  inf  
489  1  inf  inf  
490  1  inf  inf  
491  1  inf  inf  
492  1  inf  inf  
493  1  inf  inf  
494  1  inf  inf  
495  1  inf  inf  
496  1  inf  inf  
497  1  inf  inf  
498  1  inf  inf  
499  1  inf  inf  
500  1  inf  inf  
