"PointID"	"x"	"y"	"z"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
10	-5.000000000000000e-02	1.000000000000000e-02	1.000000000000000e+00	1.227707753863895e+00	3.597251080798311e+00	1.251162034776630e-05	5.795691990392746e+00	2.539124414457962e+05	1.015573965559818e+05	2.881687652797579e+02	3.629904893270583e+01	1.632677649290608e-02	
11	5.000000000000000e-02	1.000000000000000e-02	1.000000000000000e+00	1.220107599789647e+00	2.266011927706765e+00	-2.066937698260196e-06	3.873747064808019e-01	2.523304694119103e+05	1.009313214691652e+05	2.881762412439152e+02	-5.199245957337942e+01	5.536573359141716e-03	
12	5.000000000000000e-02	1.000000000000000e-02	0.000000000000000e+00	1.226132716659721e+00	-2.722681987662696e-01	-4.454487377478638e-07	2.574578810170355e-01	2.534873839916284e+05	1.013949306930079e+05	2.880773459404262e+02	1.338749019996027e+01	8.981836593558960e-04	
13	6.000000000000000e+00	1.000000000000000e-02	0.000000000000000e+00	1.225471347272980e+00	8.741363623853175e+00	-8.888079748555968e-07	-1.964679381034124e-02	2.533233921640842e+05	1.013168862641511e+05	2.880109622369886e+02	2.381365696102679e+00	2.096639519890592e-02	
14	6.000000000000000e+00	1.000000000000000e-02	4.000000000000000e+00	1.225391278108609e+00	1.036646268357362e+01	-4.462622258754216e-07	-4.610947029508677e-02	2.533205549182209e+05	1.013106821534227e+05	2.880121439446456e+02	1.506438220654624e+00	2.486599572626868e-02	
15	-3.000000000000000e+00	1.000000000000000e-02	4.000000000000000e+00	1.224214299808194e+00	1.104452966253755e+01	8.872598637448540e-07	-5.884788896656405e-02	2.535340546978894e+05	1.013936931626623e+05	2.885252588212723e+02	1.321296892712644e+01	2.649446643200073e-02	
16	-2.132421637270402e+00	0.000000000000000e+00	0.000000000000000e+00	1.224698097606842e+00	7.179423498988052e+00	-3.563234502610675e-06	8.263523397624425e-02	2.535663608240084e+05	1.014181257731509e+05	2.884807792561556e+02	1.665854930910750e+01	1.721797244123246e-02	
17	-1.468963107081476e+00	0.000000000000000e+00	0.000000000000000e+00	1.225254974976771e+00	6.101122920818764e+00	-5.699240010511176e-06	8.424026718810194e-02	2.536152889806776e+05	1.014400383596822e+05	2.884119663394767e+02	1.974874625331205e+01	1.462746982815618e-02	
18	-9.616001634889799e-01	0.000000000000000e+00	0.000000000000000e+00	1.225470574674460e+00	4.709505403536495e+00	-5.941389767730741e-06	2.607248016946354e-01	2.535729968054401e+05	1.014255678853321e+05	2.883200905172155e+02	1.770806449472373e+01	1.130708422593893e-02	
19	-5.736072649935684e-01	0.000000000000000e+00	0.000000000000000e+00	1.226291866851026e+00	3.021338719138168e+00	-8.964375284530607e-06	1.915834242797807e-01	2.536533549564903e+05	1.014598472011151e+05	2.882243718338983e+02	2.254226500001651e+01	7.253752557718026e-03	
