"PointID"	"x"	"y"	"z"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Residual_1"	"Residual_2"	"Residual_3"	"Residual_4"	"Residual_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient_X"	"Skin_Friction_Coefficient_Y"	"Skin_Friction_Coefficient_Z"	"Heat_Flux"	"Y_Plus"
11	1.000000000000000e-01	5.000000000000000e-01	1.600000000000000e+00	1.280008834679092e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.700990670368819e+05	-2.075617373039907e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	3.014199830364550e-03	1.080396268147527e+05	2.940359644227583e+02	-4.036064539093242e+00	0.000000000000000e+00	1.817558405452989e-05	2.438218365278948e-09	-1.766420149848023e-08	-1.272245290034444e-08	-1.228609041567895e-02	4.044432361257342e+02	
12	1.000000000000000e-01	5.000000000000000e-01	0.000000000000000e+00	1.269749187273255e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.676157428924128e+05	-9.101813297152030e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	2.144714914242840e-05	1.070462971569651e+05	2.936865455598372e+02	-4.144894929982454e+00	0.000000000000000e+00	1.815888379068167e-05	0.000000000000000e+00	5.810609170988502e-10	-1.652780189194698e-09	-4.492714033477551e-03	2.456614205401169e+02	
13	1.000000000000000e+01	5.000000000000000e-01	0.000000000000000e+00	1.286286842550340e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.546195927547396e+05	-2.595949186168234e-07	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-3.081818280494600e-04	1.018478371018958e+05	2.758317968524115e+02	-4.714444460070182e+00	0.000000000000000e+00	1.729242622801337e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
14	1.000000000000000e+01	5.000000000000000e-01	2.000000000000000e+00	1.285408512685537e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.543491397184152e+05	-3.108456868849974e-07	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-2.984399012218677e-04	1.017396558873660e+05	2.757270904004814e+02	-4.726296923924292e+00	0.000000000000000e+00	1.728726732294613e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
15	-1.000000000000000e+01	5.000000000000000e-01	2.000000000000000e+00	1.820422512006283e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.777731876120576e+05	4.094812927624147e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	2.037225350166379e-03	1.511092750448230e+05	2.891673598508992e+02	6.826978733560983e-01	0.000000000000000e+00	1.794202113883563e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
16	-9.010000000003364e+00	-5.000000000000000e-01	0.000000000000000e+00	1.805941575151159e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.750847374890415e+05	5.978944793975276e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	6.823887086383706e-03	1.500338949956166e+05	2.894116659492901e+02	5.648779429915324e-01	0.000000000000000e+00	1.795378627795878e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
17	-8.020000000006627e+00	-5.000000000000000e-01	0.000000000000000e+00	1.790398517535436e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.724952008861233e+05	5.414290190795465e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	5.743241492865536e-03	1.489980803544493e+05	2.899087402942952e+02	4.513928462734157e-01	0.000000000000000e+00	1.797770931883915e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
18	-7.030000000009263e+00	-5.000000000000000e-01	0.000000000000000e+00	1.777669641104409e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.706494406106076e+05	5.588287263112116e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	4.826812441592665e-03	1.482597762442430e+05	2.905377908711700e+02	3.705033608151611e-01	0.000000000000000e+00	1.800795576598781e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
19	-6.040000000012524e+00	-5.000000000000000e-01	0.000000000000000e+00	1.761076825570508e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.680672052590250e+05	5.572967418630576e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	3.830308914075431e-03	1.472268821036100e+05	2.912320438575753e+02	2.573382376448404e-01	0.000000000000000e+00	1.804130070155384e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
20	-5.050000000015612e+00	-5.000000000000000e-01	0.000000000000000e+00	1.745261440775391e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.656914500204867e+05	4.859587222915979e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	3.402082496066328e-03	1.462765800081947e+05	2.919743158746094e+02	1.532219981909325e-01	0.000000000000000e+00	1.807690960455826e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
