Timesteps  Total_Iterations  Iterations  Convergence  
559  1128  2  1  
560  1130  2  1  
561  1132  2  1  
562  1134  2  1  
563  1136  2  1  
564  1138  2  1  
565  1140  2  1  
566  1142  2  1  
567  1144  2  1  
568  1146  2  1  
569  1148  2  1  
570  1150  2  1  
571  1152  2  1  
572  1154  2  1  
573  1156  2  1  
574  1158  2  1  
575  1160  2  1  
576  1162  2  1  
577  1164  2  1  
578  1166  2  1  
579  1168  2  1  
580  1170  2  1  
581  1172  2  1  
582  1174  2  1  
583  1176  2  1  
584  1178  2  1  
585  1180  2  1  
586  1182  2  1  
587  1184  2  1  
588  1186  2  1  
589  1188  2  1  
590  1190  2  1  
591  1192  2  1  
592  1194  2  1  
593  1196  2  1  
594  1198  2  1  
595  1200  2  1  
596  1202  2  1  
597  1204  2  1  
598  1206  2  1  
599  1208  2  1  
600  1210  2  1  
601  1212  2  1  
602  1214  2  1  
603  1216  2  1  
604  1218  2  1  
605  1220  2  1  
606  1222  2  1  
607  1224  2  1  
608  1226  2  1  
609  1228  2  1  
610  1230  2  1  
611  1232  2  1  
612  1234  2  1  
613  1236  2  1  
614  1238  2  1  
615  1240  2  1  
616  1242  2  1  
617  1244  2  1  
618  1246  2  1  
619  1248  2  1  
620  1250  2  1  
621  1252  2  1  
622  1254  2  1  
623  1256  2  1  
624  1258  2  1  
625  1260  2  1  
626  1262  2  1  
627  1264  2  1  
628  1266  2  1  
629  1268  2  1  
630  1270  2  1  
631  1272  2  1  
632  1274  2  1  
633  1276  2  1  
634  1278  2  1  
635  1280  2  1  
636  1282  2  1  
637  1284  2  1  
638  1286  2  1  
639  1288  2  1  
640  1290  2  1  
641  1292  2  1  
642  1294  2  1  
643  1296  2  1  
644  1298  2  1  
645  1300  2  1  
646  1302  2  1  
647  1304  2  1  
648  1306  2  1  
649  1308  2  1  
650  1310  2  1  
651  1312  2  1  
652  1314  2  1  
653  1316  2  1  
654  1318  2  1  
655  1320  2  1  
656  1322  2  1  
657  1324  2  1  
658  1326  2  1  
659  1328  2  1  
660  1330  2  1  
661  1332  2  1  
662  1334  2  1  
663  1336  2  1  
664  1338  2  1  
665  1340  2  1  
666  1342  2  1  
667  1344  2  1  
668  1346  2  1  
669  1348  2  1  
670  1350  2  1  
671  1352  2  1  
672  1354  2  1  
673  1356  2  1  
674  1358  2  1  
675  1360  2  1  
676  1362  2  1  
677  1364  2  1  
678  1366  2  1  
679  1368  2  1  
680  1370  2  1  
681  1372  2  1  
682  1374  2  1  
683  1376  2  1  
684  1378  2  1  
685  1380  2  1  
686  1382  2  1  
687  1384  2  1  
688  1386  2  1  
689  1388  2  1  
690  1390  2  1  
691  1392  2  1  
692  1394  2  1  
693  1396  2  1  
694  1398  2  1  
695  1400  2  1  
696  1402  2  1  
697  1404  2  1  
698  1406  2  1  
699  1408  2  1  
700  1410  2  1  
701  1412  2  1  
702  1414  2  1  
703  1416  2  1  
704  1418  2  1  
705  1420  2  1  
706  1422  2  1  
707  1424  2  1  
708  1426  2  1  
709  1428  2  1  
710  1430  2  1  
711  1432  2  1  
712  1434  2  1  
713  1436  2  1  
714  1438  2  1  
715  1440  2  1  
716  1442  2  1  
717  1444  2  1  
718  1446  2  1  
719  1448  2  1  
720  1450  2  1  
721  1452  2  1  
722  1454  2  1  
723  1456  2  1  
724  1458  2  1  
725  1460  2  1  
726  1462  2  1  
727  1464  2  1  
728  1466  2  1  
729  1468  2  1  
730  1470  2  1  
731  1472  2  1  
732  1474  2  1  
733  1476  2  1  
734  1478  2  1  
735  1480  2  1  
736  1482  2  1  
737  1484  2  1  
738  1486  2  1  
739  1488  2  1  
740  1490  2  1  
741  1492  2  1  
742  1494  2  1  
743  1496  2  1  
744  1498  2  1  
745  1500  2  1  
746  1502  2  1  
747  1504  2  1  
748  1506  2  1  
749  1508  2  1  
750  1510  2  1  
751  1512  2  1  
752  1514  2  1  
753  1516  2  1  
754  1518  2  1  
755  1520  2  1  
756  1522  2  1  
757  1524  2  1  
758  1526  2  1  
759  1528  2  1  
760  1530  2  1  
761  1532  2  1  
762  1534  2  1  
763  1536  2  1  
764  1538  2  1  
765  1540  2  1  
766  1542  2  1  
767  1544  2  1  
768  1546  2  1  
769  1548  2  1  
770  1550  2  1  
771  1552  2  1  
772  1554  2  1  
773  1556  2  1  
774  1558  2  1  
775  1560  2  1  
776  1562  2  1  
777  1564  2  1  
778  1566  2  1  
779  1568  2  1  
780  1570  2  1  
781  1572  2  1  
782  1574  2  1  
783  1576  2  1  
784  1578  2  1  
785  1580  2  1  
786  1582  2  1  
787  1584  2  1  
788  1586  2  1  
789  1588  2  1  
790  1590  2  1  
791  1592  2  1  
792  1594  2  1  
793  1596  2  1  
794  1598  2  1  
795  1600  2  1  
796  1602  2  1  
797  1604  2  1  
798  1606  2  1  
799  1608  2  1  
800  1610  2  1  
801  1612  2  1  
802  1614  2  1  
803  1616  2  1  
804  1618  2  1  
805  1620  2  1  
806  1622  2  1  
807  1624  2  1  
