TimeWindow  TotalIterations  Iterations  Convergence  
614  3055  3  1  
615  3060  5  1  
616  3064  4  1  
617  3067  3  1  
618  3071  4  1  
619  3074  3  1  
620  3079  5  1  
621  3083  4  1  
622  3086  3  1  
623  3090  4  1  
624  3094  4  1  
625  3098  4  1  
626  3101  3  1  
627  3105  4  1  
628  3109  4  1  
629  3113  4  1  
630  3117  4  1  
631  3121  4  1  
632  3125  4  1  
633  3129  4  1  
634  3133  4  1  
635  3136  3  1  
636  3140  4  1  
637  3143  3  1  
638  3147  4  1  
639  3152  5  1  
640  3156  4  1  
641  3159  3  1  
642  3163  4  1  
643  3167  4  1  
644  3170  3  1  
645  3174  4  1  
646  3177  3  1  
647  3181  4  1  
648  3185  4  1  
649  3188  3  1  
650  3192  4  1  
651  3195  3  1  
652  3200  5  1  
653  3204  4  1  
654  3208  4  1  
655  3211  3  1  
656  3216  5  1  
657  3220  4  1  
658  3223  3  1  
659  3227  4  1  
660  3233  6  1  
661  3237  4  1  
662  3241  4  1  
663  3244  3  1  
664  3248  4  1  
665  3251  3  1  
666  3255  4  1  
667  3258  3  1  
668  3262  4  1  
669  3267  5  1  
670  3271  4  1  
671  3275  4  1  
672  3281  6  1  
673  3286  5  1  
674  3290  4  1  
675  3294  4  1  
676  3299  5  1  
677  3303  4  1  
678  3307  4  1  
679  3311  4  1  
680  3315  4  1  
681  3318  3  1  
682  3323  5  1  
683  3328  5  1  
684  3332  4  1  
685  3336  4  1  
686  3341  5  1  
687  3345  4  1  
688  3349  4  1  
689  3352  3  1  
690  3356  4  1  
691  3360  4  1  
692  3363  3  1  
693  3366  3  1  
694  3371  5  1  
695  3374  3  1  
696  3379  5  1  
697  3382  3  1  
698  3386  4  1  
699  3391  5  1  
700  3395  4  1  
701  3400  5  1  
702  3404  4  1  
703  3408  4  1  
704  3412  4  1  
705  3417  5  1  
706  3422  5  1  
707  3426  4  1  
708  3430  4  1  
709  3434  4  1  
710  3438  4  1  
711  3442  4  1  
712  3446  4  1  
713  3450  4  1  
714  3454  4  1  
715  3458  4  1  
716  3462  4  1  
717  3466  4  1  
718  3470  4  1  
719  3474  4  1  
720  3478  4  1  
721  3482  4  1  
722  3487  5  1  
723  3492  5  1  
724  3497  5  1  
725  3501  4  1  
726  3505  4  1  
727  3510  5  1  
728  3514  4  1  
729  3518  4  1  
730  3522  4  1  
731  3525  3  1  
732  3529  4  1  
733  3534  5  1  
734  3539  5  1  
735  3544  5  1  
736  3548  4  1  
737  3552  4  1  
738  3557  5  1  
739  3561  4  1  
740  3565  4  1  
741  3569  4  1  
742  3573  4  1  
743  3576  3  1  
744  3580  4  1  
745  3583  3  1  
746  3587  4  1  
747  3591  4  1  
748  3594  3  1  
749  3598  4  1  
750  3603  5  1  
751  3607  4  1  
752  3610  3  1  
753  3614  4  1  
754  3617  3  1  
755  3621  4  1  
756  3625  4  1  
757  3630  5  1  
758  3634  4  1  
759  3638  4  1  
760  3643  5  1  
761  3647  4  1  
762  3650  3  1  
763  3654  4  1  
764  3657  3  1  
765  3662  5  1  
766  3666  4  1  
767  3671  5  1  
768  3674  3  1  
769  3679  5  1  
770  3683  4  1  
771  3688  5  1  
772  3692  4  1  
773  3696  4  1  
774  3699  3  1  
775  3703  4  1  
776  3707  4  1  
777  3712  5  1  
778  3715  3  1  
779  3720  5  1  
780  3723  3  1  
781  3727  4  1  
782  3730  3  1  
783  3734  4  1  
784  3737  3  1  
785  3740  3  1  
786  3745  5  1  
787  3749  4  1  
788  3753  4  1  
789  3757  4  1  
790  3760  3  1  
791  3765  5  1  
792  3769  4  1  
793  3773  4  1  
794  3777  4  1  
795  3781  4  1  
796  3785  4  1  
797  3788  3  1  
798  3792  4  1  
799  3796  4  1  
800  3801  5  1  
801  3804  3  1  
802  3809  5  1  
