TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
668  3262  4  1  23  4  1  
669  3267  5  1  24  2  1  
670  3271  4  1  24  2  1  
671  3275  4  1  24  3  0  
672  3281  6  1  24  4  1  
673  3286  5  1  23  5  0  
674  3290  4  1  23  3  0  
675  3294  4  1  24  2  0  
676  3299  5  1  25  3  0  
677  3303  4  1  26  2  0  
678  3307  4  1  26  3  0  
679  3311  4  1  27  2  0  
680  3315  4  1  28  1  1  
681  3318  3  1  28  1  1  
682  3323  5  1  27  4  1  
683  3328  5  1  28  2  1  
684  3332  4  1  28  1  2  
685  3336  4  1  27  4  0  
686  3341  5  1  27  4  0  
687  3345  4  1  27  3  0  
688  3349  4  1  27  3  0  
689  3352  3  1  28  1  0  
690  3356  4  1  28  3  0  
691  3360  4  1  27  4  0  
692  3363  3  1  28  1  0  
693  3366  3  1  28  1  1  
694  3371  5  1  28  4  0  
695  3374  3  1  28  2  0  
696  3379  5  1  29  2  1  
697  3382  3  1  29  1  1  
698  3386  4  1  29  2  1  
699  3391  5  1  29  4  0  
700  3395  4  1  30  2  0  
701  3400  5  1  32  1  1  
702  3404  4  1  32  3  0  
703  3408  4  1  32  3  0  
704  3412  4  1  33  1  1  
705  3417  5  1  29  6  2  
706  3422  5  1  29  3  1  
707  3426  4  1  28  3  1  
708  3430  4  1  28  3  0  
709  3434  4  1  29  1  1  
710  3438  4  1  29  2  1  
711  3442  4  1  27  4  1  
712  3446  4  1  27  3  0  
713  3450  4  1  28  0  2  
714  3454  4  1  27  3  1  
715  3458  4  1  29  1  0  
716  3462  4  1  29  1  2  
717  3466  4  1  30  2  0  
718  3470  4  1  29  4  0  
719  3474  4  1  30  2  0  
720  3478  4  1  31  2  0  
721  3482  4  1  30  2  2  
722  3487  5  1  31  3  0  
723  3492  5  1  31  3  1  
724  3497  5  1  29  4  2  
725  3501  4  1  28  4  0  
726  3505  4  1  27  3  1  
727  3510  5  1  26  4  1  
728  3514  4  1  26  1  2  
729  3518  4  1  25  1  3  
730  3522  4  1  26  1  1  
731  3525  3  1  25  2  1  
732  3529  4  1  25  2  1  
733  3534  5  1  26  2  1  
734  3539  5  1  26  4  0  
735  3544  5  1  27  3  0  
736  3548  4  1  26  4  0  
737  3552  4  1  28  1  0  
738  3557  5  1  29  3  0  
739  3561  4  1  31  1  0  
740  3565  4  1  32  2  0  
741  3569  4  1  32  3  0  
742  3573  4  1  32  3  0  
743  3576  3  1  31  3  0  
744  3580  4  1  31  2  1  
745  3583  3  1  30  2  1  
746  3587  4  1  29  3  1  
747  3591  4  1  28  3  1  
748  3594  3  1  28  0  2  
749  3598  4  1  27  4  0  
750  3603  5  1  27  4  0  
751  3607  4  1  27  3  0  
752  3610  3  1  26  1  2  
753  3614  4  1  28  1  0  
754  3617  3  1  28  1  1  
755  3621  4  1  28  3  0  
756  3625  4  1  29  2  0  
757  3630  5  1  29  3  1  
758  3634  4  1  27  4  1  
759  3638  4  1  25  2  3  
760  3643  5  1  26  2  1  
761  3647  4  1  27  2  0  
762  3650  3  1  26  2  1  
763  3654  4  1  26  2  1  
764  3657  3  1  26  1  1  
765  3662  5  1  25  4  1  
766  3666  4  1  26  1  1  
767  3671  5  1  26  2  2  
768  3674  3  1  26  2  0  
769  3679  5  1  26  4  0  
770  3683  4  1  26  3  0  
771  3688  5  1  27  3  0  
772  3692  4  1  26  4  0  
773  3696  4  1  27  2  0  
774  3699  3  1  28  1  0  
775  3703  4  1  28  3  0  
776  3707  4  1  29  2  0  
777  3712  5  1  29  4  0  
778  3715  3  1  28  3  0  
779  3720  5  1  28  4  0  
780  3723  3  1  29  1  0  
781  3727  4  1  28  4  0  
782  3730  3  1  27  2  1  
783  3734  4  1  27  1  2  
784  3737  3  1  27  2  0  
785  3740  3  1  26  2  1  
786  3745  5  1  26  4  0  
787  3749  4  1  27  2  0  
788  3753  4  1  28  2  0  
789  3757  4  1  30  1  0  
790  3760  3  1  30  2  0  
791  3765  5  1  33  1  0  
792  3769  4  1  33  3  0  
793  3773  4  1  34  1  1  
794  3777  4  1  31  5  1  
795  3781  4  1  29  3  2  
796  3785  4  1  28  3  1  
797  3788  3  1  25  2  3  
798  3792  4  1  26  2  0  
799  3796  4  1  27  2  0  
800  3801  5  1  26  5  0  
801  3804  3  1  25  2  1  
802  3809  5  1  26  3  0  
803  3813  4  1  27  1  1  
804  3817  4  1  26  3  1  
805  3821  4  1  24  4  1  
806  3826  5  1  24  1  3  
807  3830  4  1  23  4  0  
808  3834  4  1  23  3  0  
809  3838  4  1  25  1  0  
810  3842  4  1  26  1  1  
811  3846  4  1  26  3  0  
812  3849  3  1  26  2  0  
813  3854  5  1  26  3  1  
814  3858  4  1  27  2  0  
815  3862  4  1  29  1  0  
816  3867  5  1  29  4  0  
817  3870  3  1  29  1  1  
818  3875  5  1  28  5  0  
819  3880  5  1  28  4  0  
820  3883  3  1  30  0  0  
821  3888  5  1  29  4  1  
822  3892  4  1  27  4  1  
823  3897  5  1  28  3  0  
824  3902  5  1  28  4  0  
825  3905  3  1  29  0  1  
826  3910  5  1  28  5  0  
827  3913  3  1  28  2  0  
828  3917  4  1  29  1  1  
829  3921  4  1  28  2  2  
830  3925  4  1  29  2  0  
831  3929  4  1  29  2  1  
832  3933  4  1  29  3  0  
833  3937  4  1  28  3  1  
834  3941  4  1  26  4  1  
835  3944  3  1  25  2  1  
836  3949  5  1  25  3  1  
837  3954  5  1  26  3  0  
838  3958  4  1  26  3  0  
839  3963  5  1  27  2  1  
840  3968  5  1  26  5  0  
841  3972  4  1  26  3  0  
842  3976  4  1  27  2  0  
843  3981  5  1  29  2  0  
844  3985  4  1  29  3  0  
845  3989  4  1  29  3  0  
846  3994  5  1  29  4  0  
847  3999  5  1  29  4  0  
848  4003  4  1  30  2  0  
849  4007  4  1  31  2  0  
850  4011  4  1  30  3  1  
851  4016  5  1  30  4  0  
852  4020  4  1  31  2  0  
853  4024  4  1  29  3  2  
854  4029  5  1  30  2  1  
855  4034  5  1  29  5  0  
856  4038  4  1  28  3  1  
857  4042  4  1  29  2  0  
858  4046  4  1  30  2  0  
859  4051  5  1  29  5  0  
860  4055  4  1  28  2  2  
861  4059  4  1  28  1  2  
862  4064  5  1  29  3  0  
863  4069  5  1  29  4  0  
864  4073  4  1  29  2  1  
865  4078  5  1  29  4  0  
866  4083  5  1  27  4  2  
867  4088  5  1  26  5  0  
868  4092  4  1  28  1  0  
869  4097  5  1  29  3  0  
870  4101  4  1  28  4  0  
871  4105  4  1  28  2  1  
872  4109  4  1  27  2  2  
873  4113  4  1  25  4  1  
874  4116  3  1  26  1  0  
