TimeWindow  Iteration  ResRel(DisplacementDeltas0)  ResRel(Forces0)  
134  1  0.0126385268866976  0.0043740346246527  
134  2  0.0000028002778172  0.0000432190255351  
135  1  0.0122242573199043  0.0045275468611692  
135  2  0.0000033031681164  0.0000447692157944  
136  1  0.0117951418559145  0.0046744735086363  
136  2  0.0000035745397492  0.0000444774470233  
137  1  0.0113079841672872  0.0048101893876430  
137  2  0.0000026288802381  0.0000467553691034  
138  1  0.0101749909343266  0.0049324371097276  
138  2  0.0000047900643182  0.0000369789150051  
139  1  0.0084182497366796  0.0050467237012685  
139  2  0.0000039257359431  0.0000512801784523  
140  1  0.0073720193507666  0.0051584917419533  
140  2  0.0000056399755924  0.0000379359728151  
141  1  0.0071163723328159  0.0052333381010972  
141  2  0.0000040958833678  0.0000784136714002  
142  1  0.0067481066831156  0.0052407146428317  
142  2  0.0000027573482808  0.0000470587303482  
143  1  0.0068834332231427  0.0051842511767266  
143  2  0.0000052341913641  0.0000395323861948  
144  1  0.0073635985855391  0.0050985095924608  
144  2  0.0000023206250386  0.0000781584837846  
145  1  0.0075270070719572  0.0050157398138644  
145  2  0.0000028148210043  0.0000584968440060  
146  1  0.0076588756550579  0.0049460515683753  
146  2  0.0000057132766625  0.0000676501088011  
147  1  0.0081007583289451  0.0048861209386103  
147  2  0.0000023698343835  0.0000637854418186  
148  1  0.0086005558515583  0.0048280079329387  
148  2  0.0000022430826464  0.0000555527192409  
149  1  0.0086795848876096  0.0047638597172008  
149  2  0.0000034601223174  0.0001093344550798  
150  1  0.0085195131064650  0.0046836647073705  
150  2  0.0000048151031759  0.0000367363113085  
151  1  0.0085908514642721  0.0045927480953980  
151  2  0.0000029858642343  0.0000685668349132  
152  1  0.0086476174408614  0.0045018403878768  
152  2  0.0000030681019073  0.0000821375742009  
153  1  0.0085419959132653  0.0044176923258476  
153  2  0.0000040847635301  0.0000489462990653  
154  1  0.0084441778283899  0.0043358822631131  
154  2  0.0000037300117468  0.0000692571308186  
155  1  0.0079444998499000  0.0042634236217238  
155  2  0.0000034575860091  0.0000661098841145  
156  1  0.0069614045600661  0.0042144820159072  
156  2  0.0000055002557499  0.0000371952918880  
157  1  0.0064918880352032  0.0042086826616789  
157  2  0.0000044072848671  0.0000435946909167  
158  1  0.0072441646231495  0.0042562031643723  
158  2  0.0000028034785658  0.0000432892843200  
159  1  0.0084248249332663  0.0043419202715913  
159  2  0.0000038355675696  0.0000348447535958  
160  1  0.0093317374349538  0.0044278271914450  
160  2  0.0000031867189207  0.0000611942690229  
161  1  0.0104751765133811  0.0044731037725250  
161  2  0.0000028578493065  0.0000422011187211  
162  1  0.0119490670467855  0.0044504980823772  
162  2  0.0000028547392711  0.0000417115327105  
163  1  0.0128882133038801  0.0043586600411741  
163  2  0.0000024191939483  0.0000421102387361  
164  1  0.0132967992534701  0.0042248827996858  
164  2  0.0000022424428575  0.0000220576809419  
165  1  0.0136888649246577  0.0040985426577297  
165  2  0.0000015132982106  0.0000280741529863  
166  1  0.0137880818258364  0.0040192619179595  
